"tid;""textbody"";""retweet_count"";""retweeted"";""posted"";""posting_user"""
"682792967736848385;""#HappyNewYearAmerica! https://t.co/EeQb8PDrUe"";3523;0;""2016-01-01 00:00:00"";""realDonaldTrump"""
"682794031810752513;""My 15-year-old niece: I don t know who Jimmy Buffett is. I m living in 2016."";2;0;""2016-01-01 00:00:00"";""indystartony"""
"682796357870960641;""@CourtneySampson puff daddy?!?! #4real?"";0;0;""2016-01-01 00:00:00"";""indystartony"""
"682797152876257280;""RT @WrigleyBlog: Retweet if you believe https://t.co/Jhm2VCjiI6"";1282;0;""2016-01-01 00:00:00"";""jessiehellmann"""
"682800376882446336;""Just resolveto be better this year than you were the last."";1;0;""2016-01-01 00:00:00"";""jasonnobleDMR"""
"682803974383243264;""Happy New Year everyone! https://t.co/lKYd21oxQn"";0;0;""2016-01-01 00:00:00"";""IASenateGOP"""
"682804076367708160;""Happy New Years Tennessee! New Year"
"682804572323053568;""Happy New Year!"";1;0;""2016-01-01 00:00:00"";""MSGOP"""
"682805320217980929;""Happy New Year from #MarALago! Thank you to my great family for all of their support. https://t.co/6UsqSiaaj7"";1973;0;""2016-01-01 00:00:00"";""realDonaldTrump"""
"682805477168779264;""@jallenaip: Hillary said she was in a Fog of War as explanation for the lies about Benghazi. No fog allowed in WH. Vote Trump POTUS!"";2772;0;""2016-01-01 00:00:00"";""realDonaldTrump"""
"682809664812249088;""Jerry + POTUS = a helluva ride https://t.co/W5YlupYVkJ"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682814394774892545;""RT @SusanWBrooks: Happy New Year #IN05! Best wishes for a healthy and happy 2016! https://t.co/RCDbnwEF5x"";6;0;""2016-01-01 00:00:00"";""indgop"""
"682825341761523712;""Happy New Year"
"682879729045643264;""Hau oli Makahiki Hou--The Hawaii Republican Party ohana wishes you and your family a happy"
"682901020566024192;""TRUCKS TODAY"
"682902340656037888;""Elect a RI senator NEXT TUESDAY who will fight tolls!!  #NoTollsInRI -  John Pagliarini for Senate https://t.co/UgZmgEPMlf"";4;0;""2016-01-01 00:00:00"";""RhodeIslandGOP"""
"682914145109471232;""Happy 2016! https://t.co/YnKTyQnlwT"";3;0;""2016-01-01 00:00:00"";""KYSenateGOP"""
"682920570346954752;""As a reminder"
"682923946623123457;""RT @alanblinder: First day of fares for Atlanta s streetcar system. https://t.co/MSL6ZvaznD"";2;0;""2016-01-01 00:00:00"";""J_Hancock"""
"682924865456844800;""Happy #NewYears! May your 2016 be healthy"
"682929101112389632;""One of the lucky ones.  https://t.co/o9ekYbH73H"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682930330047791104;""RT @Ed_Achorn: Editorial: What #RhodeIsland must do to get back on track this year. https://t.co/JFuUNgiBvf @projo #NewYear"";4;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682931798704132097;""Happy New Year!  May #2016 be a happy and healthy year for you and your family! #sayfie https://t.co/ByhzLLyC3G"";3;0;""2016-01-01 00:00:00"";""FLSenateGOP"""
"682936920230486017;""RT @darylawest: no resolutions. I have revelations ... to spend more time BEING. - Viola Davis https://t.co/mSf7V10Z5Q"";1;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682938498177970178;""True. Diving platforms off @WonderWheelPark anyone?  https://t.co/dRaHmWIAPY"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682940732437606400;""2015 was a success"
"682940858807656450;""Despite an explosion in technology and a huge increase in productivity"
"682941039158669312;""RT @GregButcher_: 2016: the year I start winning elections. @TNGOP #GOP2016 #LeadRight2016"";1;0;""2016-01-01 00:00:00"";""TNGOP"""
"682942811503640576;""With #MoLeg 2016 session starting Wednesday"
"682942925081198592;""(2/4) Missouri legislative staffers earn big money as political consultants: https://t.co/yJc9cpfFDD #moleg"";2;0;""2016-01-01 00:00:00"";""J_Hancock"""
"682943089829257216;""(3/4) Lawmakers aren t confident 2016 will result in a funding fix for Missouri s crumbling highways and bridges https://t.co/fP5gbrRxIZ"";2;0;""2016-01-01 00:00:00"";""J_Hancock"""
"682943204845486080;""(4/4) Missouri lawmakers vow once again to tackle ethics reform https://t.co/BP1qkNjvsb #MoLeg"";2;0;""2016-01-01 00:00:00"";""J_Hancock"""
